Associated Business - Associated Business Insolvency,Associated Business - HM Court Data,Associated Business - Charges on other businesses,Business - Director resignations,Business - Accounts Overdue,Business - Incorporation Date,Business - Adverse SIC Code,Director - Director bankruptcy,Director - Director disqualifications,Director - Director country of residence,Director - Director nationality,Director - Director average age,Director - Director Personal Insolvency,Psc - UBO nationality,Psc - UBO is overseas company?,Psc - Recent ownership changes,Financials - Negative Audit report,Financials - Negative Balance Sheet,Financials - Estimated Losses,Financials - Substantial Debts
03738876,07694037,03738876,03738876,07656566,,01555323,03738876,,04700971,05473432,01994721,03738876,05473432,08588888,03721207,,07656566,07656566,08864864
11571957,07861321,04435918,04455899,07861321,,10253758,04435918,,11027520,04700971,01457791,04435918,04700971,11325636,05577418,,10335951,10335951,07093692
05473432,02008054,04455899,03721207,00624843,,,11571957,,12333251,06494404,SC345129,11571957,07694037,02913195,02074515,,11027520,11027520,03738876
07954912,11027520,05473432,07954912,04813512,,,04455899,,02074515,10977717,04457732,04455899,09368140,,06810614,,07824267,07824267,04435918
10014039,06810614,10188530,00764694,10534115,,,03721207,,07972299,07694037,04022713,03721207,11206817,,02516125,,10865114,10865114,11571957
07656566,04813512,03721207,07852791,07399286,,,07954912,,10127417,09368140,04528745,07954912,05455699,,11836729,,04876266,04876266,05473432
05577418,09794421,02543584,10865114,03385123,,,05577418,,04457732,11027520,01977248,05577418,06277216,,11007348,,08743627,08743627,03721207
02787545,10513872,01994721,07326529,02752887,,,07048562,,06713360,07326529,03769338,07048562,07782570,,10161245,,08677926,08677926,02543584
10977717,07972299,07656566,08299940,06477712,,,10335951,,05941100,04813512,,10335951,10127417,,11368591,,04470718,04470718,01994721
05120063,10717076,05280148,01951401,07519421,,,06094202,,01135015,SC394938,,06094202,06647770,,04755466,,10555394,10555394,05358891
07694037,06533522,05577418,09794421,10590691,,,02008054,,00237293,06713991,,07861321,10120255,,,,08993965,08993965,07954912
02008054,03769338,02787545,09882097,07213346,,,12333251,,04545791,02752887,,02008054,09550454,,,,10345494,10345494,10014039
11027520,11678014,00764694,07972299,11789938,,,02074515,,06564547,07830600,,12333251,09599024,,,,SC345129,SC345129,07656566
11318494,06621854,07048562,11489265,09814792,,,10865114,,03402844,05455699,,02074515,10399030,,,,SC635220,SC635220,05280148
02074515,,03494244,09737449,00817224,,,06228090,,02913195,06277216,,10865114,06713360,,,,10733517,10733517,02787545
07824267,,11479139,07159152,11210639,,,06810614,,,07782570,,06228090,07159152,,,,08659637,08659637,00764694
07337344,,04700971,08822385,06212915,,,01330646,,,07972299,,06810614,10413560,,,,05066363,05066363,03494244
06810614,,11835842,00517311,08822385,,,11206817,,,09814792,,01330646,09586584,,,,04311124,04311124,SC131781
02994788,,10335951,11836729,04316512,,,SC108528,,,10127417,,11206817,04410612,,,,08162666,08162666,11835842
07326529,,06094202,00881861,05066363,,,12070380,,,06647770,,SC108528,03488384,,,,10627257,10627257,10335951
04876266,,04254622,11007348,07831451,,,06931341,,,10120255,,12070380,SC596606,,,,06676382,06676382,06494404
04813512,,05120063,10652129,09160432,,,05616891,,,09550454,,06931341,11007239,,,,11879680,11879680,09198313
12070380,,01457791,04806233,10652129,,,08299940,,,09599024,,05616891,10293635,,,,08244070,08244070,06094202
SC394938,,07694037,05273104,11989176,,,07720934,,,10399030,,08299940,09863849,,,,10652129,10652129,04254622
09723338,,07861321,02586361,10253758,,,02752887,,,06713360,,07720934,05451329,,,,07173069,07173069,07694037
07399286,,09368140,10420782,07173069,,,06805183,,,10413560,,02752887,08464712,,,,07171714,07171714,06681649
06931341,,03842190,10161245,SC596606,,,01105821,,,09586584,,06805183,11832678,,,,05941100,05941100,02008054
08299940,,00624843,11325636,11241187,,,09794421,,,07283756,,01105821,11952772,,,,09720289,09720289,09368140
06564069,,11027520,05471903,11105797,,,03662079,,,03488384,,09794421,11437751,,,,09273553,09273553,03842190
