Associated Business - Associated Business Insolvency,Associated Business - HM Court Data,Associated Business - Charges on other businesses,Business - Director resignations,Business - Accounts Overdue,Business - Incorporation Date,Business - Adverse SIC Code,Director - Director bankruptcy,Director - Director disqualifications,Director - Director country of residence,Director - Director nationality,Director - Director average age,Director - Director Personal Insolvency,Psc - UBO nationality,Psc - UBO is overseas company?,Psc - Recent ownership changes,Financials - Negative Audit report,Financials - Negative Balance Sheet,Financials - Estimated Losses,Financials - Substantial Debts
04807554,,08464712,,04640102,,,09515583,,,04634533,,03427411,,,,,13216176,04436021,10253758
11255506,,05471903,,04749385,,,04540449,,,04592657,,11523540,,,,,08570352,04653522,04806233
03275605,,01617954,,04867283,,,08603189,,,04736551,,03701659,,,,,11166492,04601624,05133699
13209740,,OC369761,,04918005,,,07280877,,,05093038,,04296589,,,,,10545826,04720506,07173069
03355591,,03795595,,04994923,,,06036803,,,05043715,,09515583,,,,,06387168,04592657,08925070
12269209,,02981527,,05087226,,,09441862,,,05118397,,04540449,,,,,04684573,04640102,06703222
03042752,,08561630,,05344640,,,SC274565,,,05129606,,08603189,,,,,08279199,04918005,07491590
11187644,,11550790,,05158680,,,02151436,,,05018387,,07280877,,,,,05190563,05093038,07825365
04794437,,03348743,,05255620,,,03751742,,,05419332,,06036803,,,,,10364995,05213235,04690332
02701224,,08038880,,05220945,,,08407271,,,05722148,,09441862,,,,,03980437,05087226,09646624
09989134,,05707911,,05844350,,,07936203,,,05808829,,SC274565,,,,,04807554,05344640,SC596606
02567536,,02950201,,05735303,,,04200804,,,05710116,,02151436,,,,,11255506,04957306,10544937
04929117,,01977248,,05898794,,,11762714,,,05521344,,03751742,,,,,07248712,05352288,09051461
08603189,,03779704,,05521344,,,09907013,,,05600216,,08407271,,,,,02021223,05694248,11241187
09441862,,07400497,,05600216,,,07990416,,,05619366,,07936203,,,,,05504173,05521344,05630923
12632173,,01135015,,05555951,,,07513842,,,06254586,,04200804,,,,,05968129,05600216,05273104
08363241,,07445563,,05726341,,,07398219,,,06183755,,11762714,,,,,06458234,05684760,11759232
SC274565,,08043243,,05479494,,,07514654,,,06378849,,09907013,,,,,03355591,06505720,SC344441
09532125,,02107371,,05949544,,,03618073,,,07144213,,07990416,,,,,09254621,06557850,10624589
02151436,,05998399,,06254586,,,02685392,,,06732053,,07513842,,,,,03042752,06100850,11807156
09357128,,02997697,,06581917,,,05270467,,,06646560,,07398219,,,,,06794032,05998530,06393497
09616437,,11653968,,06557850,,,09665503,,,07129740,,07514654,,,,,07061575,06273193,07171714
05123175,,07438471,,05998530,,,08617659,,,06836408,,03618073,,,,,09975808,06145018,06344510
08407271,,05903085,,06305452,,,08610130,,,08201481,,02685392,,,,,09807640,06460432,SC541106
03066370,,01971735,,06352846,,,11494665,,,07183229,,05270467,,,,,08494749,06964423,02586361
09712483,,01422905,,06028997,,,04906916,,,07849080,,09665503,,,,,06449098,06714432,11105797
04596072,,00237293,,06460432,,,09549192,,,07484676,,08617659,,,,,03701659,06739582,10015779
12500840,,01336855,,06565573,,,09450202,,,07366723,,08610130,,,,,02812527,07039876,05849858
07306663,,04545791,,06763736,,,04773281,,,07805571,,11494665,,,,,04296589,07109106,05941100
07858105,,07232405,,06964423,,,04657120,,,07462323,,04906916,,,,,10050978,06856148,10053079
11762714,,04950090,,07116748,,,07903526,,,07715222,,09549192,,,,,04794437,07129740,10066356
06038008,,12818062,,06776385,,,05332457,,,08080146,,09450202,,,,,09989134,06953791,07148857
07513842,,11632459,,07006260,,,06488775,,,07179137,,04773281,,,,,02567536,06971423,09598990
07549953,,06623358,,07090668,,,07497637,,,07862505,,04657120,,,,,09890030,06836408,05144497
03618073,,03368517,,06732053,,,SC451141,,,07562551,,07903526,,,,,SC471396,07587198,09512041
07774345,,03316595,,06684647,,,SC397025,,,09762423,,05332457,,,,,04929117,07636512,07703452
09665503,,04307310,,06679299,,,07228910,,,09411518,,06488775,,,,,04344068,08240557,SC244830
07437573,,03333300,,06641917,,,13608293,,,08358179,,07497637,,,,,04540449,07183229,10420782
08617659,,06564547,,06645891,,,05073658,,,09185187,,SC451141,,,,,08603189,07677286,08744046
08523197,,07064953,,06971423,,,11368539,,,09481978,,SC397025,,,,,07280877,07681202,11007239
09976260,,04755466,,07587198,,,07158636,,,08363290,,07228910,,,,,09444124,07462323,11795152
12199495,,SC491766,,07542692,,,01648258,,,09285991,,13608293,,,,,11523346,07215629,09720289
11494665,,03769338,,07183229,,,04496049,,,09342278,,05073658,,,,,05386932,07941888,04054805
09549192,,01537169,,07522415,,,06917046,,,09308870,,11368539,,,,,SC274565,07927105,09216728
03889301,,03402844,,07851652,,,05678565,,,09173316,,07158636,,,,,10035511,07562551,10161245
09450202,,07372814,,07484676,,,11716720,,,08287363,,01648258,,,,,06509655,07705213,10293635
SC496701,,04101455,,07367706,,,04668427,,,08717747,,04496049,,,,,09357128,07551638,07284874
07696446,,SC092731,,07985144,,,04402081,,,09633125,,06917046,,,,,04388844,08167139,10761384
06436359,,03713667,,07215629,,,SC230078,,,08287203,,05678565,,,,,06252451,09762423,07610236
04657120,,07414875,,07941888,,,05097228,,,08481864,,11716720,,,,,05123175,09411518,05312749
03472193,,07858445,,07698586,,,06665490,,,10830595,,04668427,,,,,10490621,09185187,13221479
06488775,,11678014,,07290068,,,01334874,,,10955739,,04402081,,,,,03066370,09481978,07712318
13258893,,02913195,,08080146,,,11946796,,,11091061,,07834493,,,,,04609012,08363290,06126480
07926917,,NI650965,,07227999,,,07586095,,,11341619,,SC230078,,,,,09712483,08885653,10325420
07158636,,06621854,,07862505,,,10425385,,,09882272,,05097228,,,,,07936203,08257790,01430146
01648258,,11456870,,07927105,,,05711729,,,12916607,,06665490,,,,,12500840,09203605,11109688
04496049,,13095115,,07562551,,,07561658,,,12711277,,01334874,,,,,04515759,08938991,06533522
05678565,,03310108,,07870190,,,11197352,,,11854961,,11946796,,,,,04535102,10812354,11523041
11716720,,03380944,,09762423,,,03998500,,,12241552,,07586095,,,,,04820417,10349918,06913377
04636181,,05678130,,08331473,,,03263484,,,13166222,,10425385,,,,,07858105,10828214,07729602
06580766,,11050528,,09034203,,,03461184,,,11947362,,05711729,,,,,07990416,09847297,05471903
08597161,,10807317,,08257790,,,07445043,,,12540264,,07561658,,,,,05717893,10830595,01617954
07834493,,05669656,,08906357,,,11445418,,,12554872,,11197352,,,,,04501392,11428415,03795595
05097228,,10451491,,08481864,,,04767792,,,SC009731,,03998500,,,,,07514654,10220888,08561630
SC260507,,09495093,,08867487,,,06349620,,,13167748,,03263484,,,,,08793226,11196377,11550790
02650024,,11239466,,09944496,,,01852555,,,SC206271,,03461184,,,,,07594902,11091061,03348743
06665490,,06044744,,10226263,,,05084990,,,SC270139,,07445043,,,,,07774345,10953910,08038880
09174658,,07599953,,09975840,,,05806135,,,SC105902,,11445418,,,,,05887710,11756687,02950201
11840658,,11404365,,10812354,,,09687217,,,SC495661,,04767792,,,,,04731667,09914320,01977248
09204888,,02704053,,11056449,,,07122242,,,SC086301,,06349620,,,,,09665503,12516033,07400497
04116888,,03954468,,09847297,,,10691874,,,SC407490,,01852555,,,,,10318812,12579117,01135015
09339603,,06672467,,10830595,,,03385057,,,SC281264,,05084990,,,,,02744972,12185457,07445563
07929432,,SC070496,,10385438,,,06040339,,,SC106673,,05806135,,,,,08403630,12711277,05998399
12363471,,06938807,,10245422,,,03139999,,,SC238971,,09687217,,,,,08523197,12194167,11653968
06480668,,07649238,,11017012,,,05307766,,,SC537145,,07122242,,,,,09535478,12577277,11952772
05404276,,09034747,,10631479,,,07898363,,,SC094536,,10691874,,,,,11494665,OC330903,11413937
01852555,,04245262,,10946579,,,10028282,,,SC666333,,03385057,,,,,04906916,12241552,11330081
13235262,,12156382,,10955739,,,08077912,,,10225502,,04671884,,,,,09450202,12330694,12142438
09143932,,06597668,,09958550,,,07743047,,,06307861,,06040339,,,,,SC496701,11947362,07438471
08295788,,06642235,,11091061,,,10596426,,,10266068,,03139999,,,,,07696446,13214888,05903085
07051076,,03078095,,10953910,,,09651927,,,09733526,,05307766,,,,,06436359,12226672,01971735
12303806,,04152051,,11092385,,,SC444316,,,10286123,,07898363,,,,,04773281,13484664,01422905
08371136,,10836839,,11683244,,,09994806,,,SC358289,,10028282,,,,,04657120,13484722,03526455
04320285,,07777883,,10665557,,,08462263,,,04663375,,08077912,,,,,09789267,11838630,00237293
08963185,,00726306,,10817824,,,04544711,,,07403006,,07743047,,,,,07903526,13236462,08015005
07122242,,09706536,,10517011,,,09127201,,,05256769,,10596426,,,,,10027330,11945365,06885135
02234634,,04436365,,10444780,,,02812042,,,09606717,,09651927,,,,,05332457,SC208098,07232405
10225889,,10410770,,09914320,,,08393030,,,05068917,,SC444316,,,,,07497637,SC495661,05363700
02451148,,04711313,,10441689,,,10660202,,,11530374,,09994806,,,,,06512267,SC574801,09482863
06796308,,01015207,,12185457,,,07826234,,,07851115,,08462263,,,,,07926917,SC582327,05614940
05307766,,02009551,,12194167,,,08929860,,,SC401207,,04544711,,,,,00743785,SC237621,04950090
08537832,,03596133,,11854961,,,11546932,,,03881576,,09127201,,,,,10675410,SC454820,12235772
07787211,,06101646,,12241552,,,04835602,,,NI065035,,02812042,,,,,05588272,SC415244,05036668
08439956,,07163211,,12330694,,,05055354,,,08336842,,08393030,,,,,06757981,SC467457,06623358
07898363,,03538827,,12226672,,,12011173,,,07617290,,10660202,,,,,06750914,02364681,SC446596
09276976,,08710542,,12622790,,,10122945,,,07445403,,07826234,,,,,05025597,10297334,03368517
10028282,,SC151520,,12554872,,,09225484,,,02538905,,08929860,,,,,05073658,06653664,03316595
11493281,,11830979,,SC391265,,,09925573,,,NI625551,,11546932,,,,,11121299,SC633941,04307310
07743047,,09291810,,SC238500,,,02441708,,,07503904,,04835602,,,,,04393618,08792230,04994710
10596426,,04842248,,SC187364,,,03885366,,,07887054,,05055354,,,,,12743120,11684817,03333300
09651927,,04038689,,SC411306,,,07074963,,,11904459,,12011173,,,,,04316674,09629183,07064953
07400506,,10159682,,SC276955,,,10377831,,,12003239,,10122945,,,,,04496049,SC358289,09816845
11180371,,03072059,,SC265632,,,07986288,,,07812559,,09225484,,,,,07597986,04663375,SC491766
09994806,,08372695,,SC559345,,,04548847,,,,,07704677,,,,,06917046,05256769,01537169
11254234,,04670294,,SC582327,,,08372543,,,,,09925573,,,,,03727685,11693207,05643962
SC430051,,02274018,,SC237621,,,09115925,,,,,02441708,,,,,11716720,04625172,09881288
08462263,,01873033,,SC501552,,,11252532,,,,,03885366,,,,,09839572,05068917,12099742
06818120,,06547206,,SC094536,,,10226146,,,,,07074963,,,,,SC290577,03028064,04101455
08619517,,09056450,,SC504891,,,10045834,,,,,10377831,,,,,09435636,NI620666,03713667
02812042,,05122865,,SC590088,,,SC438276,,,,,07986288,,,,,01497440,07665491,06621854
06005669,,08253508,,SC655479,,,07315290,,,,,04548847,,,,,06746813,11530374,10812398
02437438,,03648401,,11332893,,,06132801,,,,,08372543,,,,,11616300,SC554498,13095115
08393030,,09120861,,10225502,,,09652845,,,,,09115925,,,,,02470445,SC425209,03310108
10660202,,07512234,,10297334,,,07966955,,,,,11252532,,,,,08526128,10576661,03380944
10669703,,03756518,,06653664,,,05888151,,,,,10226146,,,,,04402081,SC597624,05678130
08612826,,09391998,,10510843,,,09609859,,,,,10045834,,,,,08597161,08336842,05669656
08598777,,04290311,,08348510,,,09486869,,,,,SC438276,,,,,07834493,10976513,10983947
08929860,,07164572,,08792230,,,07852167,,,,,07315290,,,,,SC253917,10586290,10451491
11546932,,05279369,,05256769,,,10175725,,,,,06132801,,,,,05097228,NI625551,09495093
07122464,,08597024,,09888939,,,06669839,,,,,09652845,,,,,02650024,11904459,11239466
06885071,,01184069,,10933230,,,06615333,,,,,07966955,,,,,05745999,,06044744
02709726,,08617932,,10576661,,,09627140,,,,,05888151,,,,,09858616,,07599953
10810248,,12128399,,09750509,,,SC226354,,,,,09609859,,,,,04982192,,03954468
02652500,,08121941,,SC597624,,,03555253,,,,,09486869,,,,,04945822,,06672467
12113368,,04175709,,07536589,,,SO306679,,,,,07852167,,,,,11946796,,SC070496
05055354,,10983433,,12003239,,,08358583,,,,,10175725,,,,,10671269,,10414327
05810874,,04369649,,11806110,,,06440567,,,,,06669839,,,,,10425385,,09034747
10122945,,08677556,,,,,04436765,,,,,06615333,,,,,09339603,,09391745
10614111,,08474469,,,,,10419142,,,,,09627140,,,,,01923809,,04245262
09225484,,04080516,,,,,08648789,,,,,SC226354,,,,,05083534,,08782758
02668691,,08707098,,,,,11557486,,,,,03555253,,,,,06480668,,12156382
07704677,,07472762,,,,,NI054920,,,,,SO306679,,,,,07445043,,03712702
08801928,,10482613,,,,,09721787,,,,,08358583,,,,,05404276,,06597668
09925573,,10283438,,,,,05484766,,,,,06440567,,,,,08514620,,09106051
07074963,,11117872,,,,,10077279,,,,,04436765,,,,,07051076,,05633846
10377831,,04918542,,,,,08326961,,,,,10419142,,,,,10910246,,09784705
04548847,,05972086,,,,,10190328,,,,,08648789,,,,,12303806,,08304374
NI609734,,01451217,,,,,11571743,,,,,11557486,,,,,03863287,,06642235
SC602543,,09518653,,,,,04649992,,,,,NI054920,,,,,02735241,,09142430
10226146,,04898321,,,,,06785355,,,,,09721787,,,,,07122242,,06902304
07654207,,09271351,,,,,00684463,,,,,05484766,,,,,05307766,,08844002
07547856,,07874835,,,,,08056916,,,,,10077279,,,,,08537832,,04152051
04435862,,09352377,,,,,11545397,,,,,08326961,,,,,07787211,,10836839
08934077,,07136205,,,,,05372527,,,,,10190328,,,,,08439956,,07777883
08282537,,08148659,,,,,05450093,,,,,11571743,,,,,07898363,,08862098
03555253,,05735308,,,,,06926796,,,,,04649992,,,,,10028282,,00726306
08648789,,09935655,,,,,07096850,,,,,06785355,,,,,11795383,,10763726
11557486,,08069003,,,,,02305889,,,,,00684463,,,,,10596426,,10410770
04347416,,03309338,,,,,SC052203,,,,,08056916,,,,,09651927,,04630397
07878178,,07571842,,,,,NI012184,,,,,11545397,,,,,SC444316,,08301429
07973145,,02904127,,,,,10607455,,,,,05372527,,,,,09994806,,04711313
10190328,,11631670,,,,,09381896,,,,,05450093,,,,,08462263,,01015207
09563220,,04176469,,,,,SC572537,,,,,06926796,,,,,04544711,,02009551
04649992,,05665961,,,,,01548414,,,,,07096850,,,,,02812042,,03596133
06785355,,06789978,,,,,06685049,,,,,02305889,,,,,08393030,,06101646
07703760,,01740567,,,,,11774323,,,,,SC052203,,,,,10660202,,07006853
00684463,,06499586,,,,,02917488,,,,,NI012184,,,,,07826234,,07163211
08056916,,09220334,,,,,13140598,,,,,10607455,,,,,08598777,,03538827
11545397,,04585380,,,,,NI012712,,,,,09381896,,,,,04835602,,08710542
06336895,,03972116,,,,,04704074,,,,,SC572537,,,,,11872349,,04449912
05450093,,01980816,,,,,11151005,,,,,01548414,,,,,06885071,,04284711
07096850,,11329846,,,,,09613330,,,,,06685049,,,,,11282709,,SC151520
07925695,,02076293,,,,,07946186,,,,,11774323,,,,,02709726,,09291810
02305889,,06951721,,,,,SC523846,,,,,03110417,,,,,10810248,,06534035
05386109,,09430294,,,,,06125514,,,,,02917488,,,,,09402657,,07905111
02675397,,10686987,,,,,11138788,,,,,13140598,,,,,12113368,,04842248
03125172,,05708176,,,,,10732693,,,,,NI012712,,,,,09188809,,03072059
03519207,,09566841,,,,,07811055,,,,,04704074,,,,,12011173,,02274018
06685049,,00875005,,,,,01054247,,,,,11151005,,,,,09951969,,01873033
08644373,,09894235,,,,,00447952,,,,,09613330,,,,,09225484,,03648401
12533702,,05879550,,,,,01093935,,,,,07946186,,,,,08955804,,07512234
05733564,,04739591,,,,,00416089,,,,,09198914,,,,,08103755,,03756518
08057650,,04493192,,,,,01498182,,,,,08058102,,,,,08801928,,04290311
07946186,,05306770,,,,,00071382,,,,,SC523846,,,,,02441708,,07164572
12445826,,06407112,,,,,00547176,,,,,06125514,,,,,08239487,,05279369
11494967,,11055224,,,,,01455312,,,,,11138788,,,,,07836847,,04175709
10641476,,08821630,,,,,00250773,,,,,10732693,,,,,03885366,,04369649
08914384,,11869936,,,,,00495404,,,,,07811055,,,,,10377831,,08474469
06821796,,06836324,,,,,00502663,,,,,01054247,,,,,04548847,,04080516
06125114,,06865379,,,,,00971894,,,,,00447952,,,,,01312434,,05972086
01567398,,08502427,,,,,01459141,,,,,01093935,,,,,06993580,,01451217
05015411,,05404816,,,,,01451585,,,,,00416089,,,,,NI609734,,09518653
02702124,,03134610,,,,,01333906,,,,,01498182,,,,,SC602543,,09271351
11138788,,03725344,,,,,00560985,,,,,00071382,,,,,08522370,,05735308
10732693,,07992201,,,,,01067101,,,,,00547176,,,,,08372543,,02904127
07811055,,09849417,,,,,01265100,,,,,01455312,,,,,05388518,,06789978
04391659,,07839881,,,,,02383452,,,,,00250773,,,,,SC358376,,04585380
14429376,,03278168,,,,,01742443,,,,,00495404,,,,,10557738,,01980816
11994044,,04331253,,,,,02003539,,,,,00502663,,,,,08794868,,00875005
00416089,,11473704,,,,,01662295,,,,,00971894,,,,,05888151,,05879550
00547176,,08191795,,,,,01985419,,,,,01459141,,,,,SC504327,,04739591
00875873,,06981168,,,,,02324980,,,,,01451585,,,,,07852167,,05306770
01455312,,09613760,,,,,01836824,,,,,01333906,,,,,07976327,,06407112
00624228,,07106145,,,,,02221362,,,,,00560985,,,,,10244242,,11055224
00971894,,08544232,,,,,02231437,,,,,01067101,,,,,09429349,,06865379
01525162,,06698761,,,,,01851780,,,,,01265100,,,,,06432371,,03134610
01459141,,08302992,,,,,02168907,,,,,02383452,,,,,07460765,,03725344
01451585,,07912713,,,,,01529017,,,,,01742443,,,,,08785307,,03278168
00950647,,12293356,,,,,01883845,,,,,02003539,,,,,06486231,,11473704
01333906,,06016684,,,,,02041598,,,,,01662295,,,,,06669839,,08017468
01189115,,09022528,,,,,01943697,,,,,01985419,,,,,08560290,,07106145
00560985,,10632743,,,,,02354689,,,,,02324980,,,,,08300807,,08544232
01067101,,07411279,,,,,02248449,,,,,01836824,,,,,09826647,,06698761
00043694,,09758396,,,,,01929517,,,,,02221362,,,,,07428780,,06803614
01031235,,05031353,,,,,02155638,,,,,02231437,,,,,10274863,,10055296
01342411,,06803614,,,,,02495369,,,,,01851780,,,,,10887274,,06428767
01662295,,08416471,,,,,02063036,,,,,02168907,,,,,09500172,,07055859
01931093,,08435316,,,,,01640897,,,,,01529017,,,,,10997323,,08940280
02324980,,10055296,,,,,02413935,,,,,01883845,,,,,09179532,,09643142
02453601,,06428767,,,,,02822410,,,,,02041598,,,,,06440567,,08857016
01836824,,07055859,,,,,02900764,,,,,01943697,,,,,06625391,,06663391
02027001,,04445603,,,,,02834163,,,,,02354689,,,,,07075877,,11425759
02231437,,09801256,,,,,02690630,,,,,02248449,,,,,10419142,,06718163
01740557,,08940280,,,,,02894351,,,,,01929517,,,,,09900983,,11257840
02515314,,06885151,,,,,02823720,,,,,02155638,,,,,02908219,,05798427
02213734,,10252159,,,,,02692264,,,,,02495369,,,,,06561650,,05424420
02168907,,02773015,,,,,02756926,,,,,02063036,,,,,07973145,,05644604
01651167,,05926016,,,,,02620287,,,,,01640897,,,,,06883287,,06751441
01529017,,08518818,,,,,02624327,,,,,02413935,,,,,02884753,,05452911
01883845,,07364302,,,,,02608091,,,,,02822410,,,,,04649992,,SC338885
02091066,,04528483,,,,,02678057,,,,,02900764,,,,,07703760,,10738356
02041598,,05088256,,,,,02766792,,,,,02834163,,,,,09597764,,09335719
01824788,,09643142,,,,,03102495,,,,,02690630,,,,,01736853,,07642449
01929517,,08857016,,,,,02901661,,,,,02894351,,,,,05749499,,05601553
01554709,,06210216,,,,,03026495,,,,,02823720,,,,,05372527,,09996798
02155638,,06663391,,,,,02973718,,,,,02692264,,,,,04517875,,05045250
01877012,,11425759,,,,,03026636,,,,,02756926,,,,,07096850,,02533129
01925337,,06718163,,,,,03264965,,,,,02620287,,,,,05386109,,04805020
02062528,,06378290,,,,,03205792,,,,,02624327,,,,,00939789,,03799848
02063036,,05519578,,,,,03235739,,,,,02608091,,,,,10607455,,08812066
02386239,,11257840,,,,,03408642,,,,,02678057,,,,,02675397,,03375226
01632099,,04715303,,,,,03216535,,,,,02766792,,,,,08928117,,07086475
01644625,,07814460,,,,,03410247,,,,,03102495,,,,,08644373,,09964427
02303591,,07751906,,,,,03657036,,,,,02901661,,,,,11774323,,07612309
02900764,,07553926,,,,,03566179,,,,,03026495,,,,,12171516,,08668958
02702613,,06149308,,,,,03587140,,,,,02973718,,,,,05733564,,03050985
02894351,,05503661,,,,,04119677,,,,,03026636,,,,,03110417,,05837800
02823720,,05798427,,,,,03962261,,,,,03264965,,,,,01638982,,09240055
02821689,,04410423,,,,,03884424,,,,,03205792,,,,,08057650,,02690435
02811213,,06312244,,,,,03830084,,,,,03235739,,,,,05119181,,08771212
02793762,,08906640,,,,,04223987,,,,,03408642,,,,,03339330,,SC290803
02620287,,09669502,,,,,03861904,,,,,03216535,,,,,04720476,,09947524
02624327,,09149331,,,,,04001363,,,,,03410247,,,,,10641476,,02535318
02678057,,05424420,,,,,04188950,,,,,03657036,,,,,08914384,,02086506
02862369,,05644604,,,,,03766330,,,,,03566179,,,,,06821796,,SC412503
02591791,,06751441,,,,,04156878,,,,,03587140,,,,,06125114,,07457931
02587210,,03209264,,,,,04193251,,,,,04119677,,,,,02685331,,09264136
03004971,,05452911,,,,,04210685,,,,,03962261,,,,,08407103,,11543075
02920844,,04230032,,,,,03971783,,,,,03884424,,,,,10732693,,09573233
03026495,,08744297,,,,,04083974,,,,,03830084,,,,,00447952,,03005647
02946840,,08643769,,,,,04230174,,,,,04223987,,,,,00071382,,SC442208
03026636,,03527812,,,,,04554727,,,,,03861904,,,,,00857795,,07932944
03350463,,05203127,,,,,04373358,,,,,04001363,,,,,00346134,,12393467
03313457,,SC338885,,,,,04518467,,,,,04188950,,,,,00624228,,12261367
03176191,,07431618,,,,,04345156,,,,,03766330,,,,,00495404,,11136130
03235683,,10738356,,,,,04260683,,,,,04156878,,,,,01446345,,08850775
03264965,,03019046,,,,,04403183,,,,,04193251,,,,,01451585,,07546881
03164605,,09335719,,,,,04409536,,,,,04210685,,,,,01093242,,07679381
03260618,,07642449,,,,,04320486,,,,,03971783,,,,,01334681,,06976666
03533041,,02438193,,,,,04567447,,,,,04083974,,,,,01416087,,05256773
03235739,,05588223,,,,,04499349,,,,,04230174,,,,,00420909,,07649534
03359843,,05601553,,,,,04259022,,,,,04554727,,,,,00897550,,04379093
03452166,,07007221,,,,,04262026,,,,,04373358,,,,,01265100,,09353792
03408642,,08220210,,,,,04393099,,,,,04518467,,,,,01525895,,04759322
03326711,,08270454,,,,,04555813,,,,,04345156,,,,,01600597,,04656812
03216535,,07657320,,,,,04436021,,,,,04260683,,,,,02306288,,08020637
03505733,,04960504,,,,,04544994,,,,,04403183,,,,,02221362,,07200665
03357623,,05178783,,,,,04802119,,,,,04409536,,,,,01750045,,03479758
03410247,,09996798,,,,,04818207,,,,,04320486,,,,,01651167,,04266636
03120759,,08965391,,,,,04577817,,,,,04567447,,,,,01529017,,07956163
03532388,,05839628,,,,,04680748,,,,,04499349,,,,,01929517,,07163013
03666296,,09539553,,,,,04717052,,,,,04259022,,,,,01969077,,04736768
03600901,,05045250,,,,,04625880,,,,,04262026,,,,,01877012,,10453360
03490622,,02533129,,,,,04913913,,,,,04393099,,,,,01925337,,07815225
03657036,,10360682,,,,,04813508,,,,,04555813,,,,,01597335,,06836122
03348635,,03177060,,,,,04601624,,,,,04436021,,,,,01990399,,08363753
03473118,,04805020,,,,,04715053,,,,,04343771,,,,,02823720,,10324959
03566179,,03799848,,,,,04686904,,,,,04544994,,,,,02821689,,10012058
03587140,,08812066,,,,,04715668,,,,,04802119,,,,,02759594,,02689006
04048450,,06700323,,,,,04736551,,,,,04818207,,,,,02768725,,07642831
04038636,,04269812,,,,,04649760,,,,,04577817,,,,,02643516,,00535715
03675847,,08773489,,,,,05257079,,,,,04680748,,,,,02877927,,08878092
04138012,,08334024,,,,,04965551,,,,,04717052,,,,,02620287,,03562260
04173366,,07021237,,,,,05093038,,,,,04625880,,,,,02862369,,09104535
03967698,,03375226,,,,,05223020,,,,,04913913,,,,,02591791,,12472997
03859367,,07086475,,,,,05262030,,,,,04813508,,,,,02587210,,05973993
03867561,,07938272,,,,,05132917,,,,,04601624,,,,,03026636,,10301281
04223987,,09964427,,,,,05760284,,,,,04715053,,,,,03111707,,05355511
03861904,,07712916,,,,,05428511,,,,,04686904,,,,,03264965,,06452970
04001363,,08999485,,,,,05694248,,,,,04715668,,,,,03164605,,03765300
04188950,,07612309,,,,,05687748,,,,,04736551,,,,,03413714,,10625745
03674510,,04639062,,,,,05732617,,,,,04649760,,,,,03533041,,01658531
04026531,,02690435,,,,,05710116,,,,,05257079,,,,,03452166,,09915888
03811440,,08771212,,,,,05919346,,,,,04965551,,,,,03408642,,09957564
04214056,,SC290803,,,,,05735303,,,,,05093038,,,,,03410247,,09525277
03971783,,02086506,,,,,05893596,,,,,05223020,,,,,03666296,,03261036
04436731,,07941637,,,,,05886711,,,,,05262030,,,,,03490622,,10923698
04555028,,SC412503,,,,,05828597,,,,,05132917,,,,,03322489,,10481622
04518467,,05631335,,,,,05684760,,,,,05760284,,,,,03263871,,09085655
04543543,,09573233,,,,,05848604,,,,,05428511,,,,,04193293,,07461408
04373077,,12393467,,,,,05377873,,,,,05694248,,,,,04038636,,05646220
04345156,,08850775,,,,,05493777,,,,,05687748,,,,,04087772,,12478841
04241381,,07546881,,,,,05726341,,,,,05732617,,,,,03884424,,02925827
04567369,,07679381,,,,,05603868,,,,,05710116,,,,,03867561,,07527166
04403183,,06976666,,,,,05698647,,,,,05919346,,,,,04223987,,04136911
04396848,,05256773,,,,,06276285,,,,,05735303,,,,,03714193,,00720550
04354279,,07649534,,,,,06456223,,,,,05893596,,,,,03861904,,08154374
04505951,,09353792,,,,,06072193,,,,,05886711,,,,,03879044,,08570352
04544994,,04759322,,,,,06005446,,,,,05828597,,,,,03753188,,08581347
04249589,,04656812,,,,,05980241,,,,,05684760,,,,,04020027,,SC298317
04265020,,08020637,,,,,06557850,,,,,05848604,,,,,03947256,,06811491
04609563,,07200665,,,,,06272388,,,,,05377873,,,,,04156878,,05384236
04634533,,03479758,,,,,05998530,,,,,05493777,,,,,04093237,,11166492
04717052,,04266636,,,,,06145018,,,,,05726341,,,,,03811440,,03229690
04625880,,04736768,,,,,06127731,,,,,05603868,,,,,03894660,,06387168
04913913,,04665911,,,,,06064546,,,,,05698647,,,,,03714233,,04684573
04601624,,06836122,,,,,07116748,,,,,06276285,,,,,03748606,,05955584
04683984,,08363753,,,,,06776385,,,,,06456223,,,,,04241381,,08279199
04720506,,02689006,,,,,06714432,,,,,06072193,,,,,04541208,,05190563
04696549,,05137542,,,,,06846982,,,,,06005446,,,,,04320486,,10364995
04592657,,08878092,,,,,07066690,,,,,05980241,,,,,04404474,,03980437
04640102,,03562260,,,,,07178603,,,,,06557850,,,,,04396848,,02070569
04749385,,12472997,,,,,06925697,,,,,06137279,,,,,04507223,,04807554
05257079,,05973993,,,,,07109106,,,,,06272388,,,,,04262026,,11255506
04918005,,10301281,,,,,06643885,,,,,05998530,,,,,04350712,,02021223
05189798,,03211482,,,,,06684647,,,,,06145018,,,,,04505951,,05968129
05093038,,03765300,,,,,06654606,,,,,06127731,,,,,04544994,,06458234
04994923,,01658531,,,,,07129740,,,,,06064546,,,,,04265020,,03275605
05012258,,09957564,,,,,06953791,,,,,07116748,,,,,04802119,,10601456
05087226,,09525277,,,,,07130140,,,,,06776385,,,,,04818207,,06613615
05158680,,03261036,,,,,06825291,,,,,06714432,,,,,04577817,,03355591
